stage,fold,epoch,train_loss,valid_auc,lr
2,0,9,0.021473615670801846,0.9946112619310521,3.1779850248656683e-06
2,0,10,0.02001218804270848,0.9947149434274236,1e-06
2,1,1,0.055216791886058485,0.9912466449905655,8.782201497513433e-05
2,1,2,0.04438500488074599,0.9926420234075173,8.150125624968516e-05
2,1,3,0.032033917340603506,0.9950798327412511,7.165644372701506e-05
2,1,4,0.03222397822313584,0.9958403379519498,5.925125624968516e-05
2,1,5,0.027996182257493774,0.9943209051576966,4.55e-05
2,1,6,0.02575687047830977,0.9955123196579734,3.174874375031484e-05
2,1,7,0.024198513785070114,0.995799507640835,1.9343556272984955e-05
2,1,8,0.020641922326451474,0.9959218422974678,9.498743750314846e-06
2,1,9,0.018943481254749574,0.995952323051614,3.1779850248656683e-06
2,1,10,0.020363398182850618,0.9963962427258135,1e-06
2,2,1,0.05831659598542111,0.986569187308696,8.782201497513433e-05
2,2,2,0.04465260921598791,0.9972166953765446,8.150125624968516e-05
2,2,3,0.034813723680409754,0.9968302579157575,7.165644372701506e-05
2,2,4,0.03524300536898139,0.9962243882724036,5.925125624968516e-05
2,2,5,0.03614879642602998,0.9972337798892075,4.55e-05
2,2,6,0.027961529499677184,0.9972958822390943,3.174874375031484e-05
2,2,7,0.0282321213949267,0.9975663583231424,1.9343556272984955e-05
2,2,8,0.02294546864660723,0.9977599599411162,9.498743750314846e-06
2,2,9,0.024677363132218737,0.997679436093759,3.1779850248656683e-06
2,2,10,0.021423909588010756,0.9979041402472398,1e-06
2,3,1,0.05110259141752517,0.9914114127669142,8.782201497513433e-05
2,3,2,0.040562601698623905,0.9909351359569813,8.150125624968516e-05
2,3,3,0.03482340565872389,0.99096274300894,7.165644372701506e-05
2,3,4,0.029051194581520428,0.9961561667950142,5.925125624968516e-05
2,3,5,0.03090980158770805,0.9979028482502329,4.55e-05
2,3,6,0.02501401686426866,0.9977127505366862,3.174874375031484e-05
2,3,7,0.019893066323065495,0.9983490203250267,1.9343556272984955e-05
2,3,8,0.02047866411445724,0.998531696139184,9.498743750314846e-06
2,3,9,0.01982053761769618,0.9982270778975351,3.1779850248656683e-06
2,3,10,0.020529641974512694,0.9982586450889528,1e-06
2,4,1,0.07393908498624524,0.978526924472346,8.782201497513433e-05
2,4,2,0.05577649352150959,0.9765642467779903,8.150125624968516e-05
2,4,3,0.052620371987858974,0.9770467618096069,7.165644372701506e-05
2,4,4,0.03950542393703382,0.9769478227584595,5.925125624968516e-05
2,4,5,0.037254114103104384,0.9770026749538496,4.55e-05
2,4,6,0.029285050396408354,0.9799575401157872,3.174874375031484e-05
2,4,7,0.024351209325326997,0.9836561451668607,1.9343556272984955e-05
2,4,8,0.02214221009513834,0.9829606186275904,9.498743750314846e-06
2,4,9,0.0236363250168634,0.9817181387623302,3.1779850248656683e-06
2,4,10,0.02290128760684568,0.9822033619310204,1e-06
