stage,fold,epoch,train_loss,valid_auc,lr
1,0,1,0.10565129861972489,0.963260860987152,1.200000000000002e-05
1,0,2,0.034867526891712956,0.9445801941832195,0.0002299189027091962
1,0,3,0.023851356584230786,0.9594632849501098,0.0002989407388484867
1,0,4,0.015925998634154715,0.9646668581516806,0.00029082227397072164
1,0,5,0.010860086639045871,0.983607259893009,0.00027511207619886324
1,0,6,0.00762764157140167,0.9844430130898056,0.0002526570863612255
1,0,7,0.006744108879382231,0.9845320390867062,0.00022466785877221305
1,0,8,0.007140983029215592,0.9840526159232542,0.00019265329993589102
1,0,9,0.004962313514804739,0.9907161821927163,0.00015833932300578522
1,0,10,0.002289348649835549,0.9870451711090091,0.00012357580336003952
1,0,11,0.002245652906552365,0.9841487239542128,9.023685134095774e-05
1,0,12,0.0021363648908475997,0.9845722088611161,6.0119778481354715e-05
1,0,13,0.0010734974835581302,0.9851560596037172,3.484820397460537e-05
1,0,14,0.0011162367173001059,0.9860381518689215,1.5784524943671793e-05
1,0,15,0.0018898855533624665,0.9839190823628133,3.956469259561037e-06
1,1,1,0.11131810560658738,0.9504005943915803,1.200000000000002e-05
1,1,2,0.041133623355283186,0.9651148674278129,0.0002299189027091962
1,1,3,0.018395904744565896,0.9734528985310543,0.0002989407388484867
1,1,4,0.020460885052011442,0.9739103551483175,0.00029082227397072164
1,1,5,0.010976251945856467,0.9813597211860372,0.00027511207619886324
1,1,6,0.01150332365900145,0.9767125551852532,0.0002526570863612255
1,1,7,0.008495203176178141,0.9902122231633129,0.00022466785877221305
1,1,8,0.005698567690969967,0.9892827396512738,0.00019265329993589102
1,1,9,0.002875702872688135,0.9906886781921505,0.00015833932300578522
1,1,10,0.0027464974021083667,0.9893300245676,0.00012357580336003952
1,1,11,0.0037576247401315474,0.9842062991611122,9.023685134095774e-05
1,1,12,0.0020465691114812936,0.9867118824166313,6.0119778481354715e-05
1,1,13,0.0019191808522129458,0.9841509673707657,3.484820397460537e-05
1,1,14,0.0015205955953586075,0.9851986902515109,1.5784524943671793e-05
1,1,15,0.0009340653496410297,0.9853579926314443,3.956469259561037e-06
1,2,1,0.1095708412537863,0.9262945761042964,1.200000000000002e-05
1,2,2,0.036273802272402324,0.9599139727944909,0.0002299189027091962
1,2,3,0.023955845659097228,0.930258078960239,0.0002989407388484867
1,2,4,0.017233697086019992,0.9736516111983451,0.00029082227397072164
1,2,5,0.013258018607022958,0.9836649549168679,0.00027511207619886324
1,2,6,0.007439147837710782,0.9780312870001037,0.0002526570863612255
1,2,7,0.007296769542105951,0.9867451030623713,0.00022466785877221305
1,2,8,0.006169943090184121,0.9833510601257287,0.00019265329993589102
1,2,9,0.005839644164082999,0.9941074213707406,0.00015833932300578522
1,2,10,0.003952833340528221,0.9838027276111372,0.00012357580336003952
1,2,11,0.0032049427328664543,0.9823793535349361,9.023685134095774e-05
1,2,12,0.003281885568187815,0.9839946414520405,6.0119778481354715e-05
1,2,13,0.0017441620227175887,0.9842858856704103,3.484820397460537e-05
1,2,14,0.002090079411813109,0.9879510100452598,1.5784524943671793e-05
1,2,15,0.0017353942293394228,0.9852978827760778,3.956469259561037e-06
1,3,1,0.10890299964000236,0.9613814870076738,1.200000000000002e-05
1,3,2,0.038812152831559324,0.9457636536396243,0.0002299189027091962
1,3,3,0.026993558959585134,0.9718495989138631,0.0002989407388484867
1,3,4,0.019516896712337875,0.9945006208893903,0.00029082227397072164
1,3,5,0.012228308249377533,0.9864705224298024,0.00027511207619886324
1,3,6,0.010387894295150885,0.9945833586272729,0.0002526570863612255
1,3,7,0.0077598950295366224,0.9908939743997917,0.00022466785877221305
1,3,8,0.00524525734395106,0.9924643787114693,0.00019265329993589102
1,3,9,0.00351593937099736,0.991709126429104,0.00015833932300578522
1,3,10,0.003192172432526214,0.9969274640338889,0.00012357580336003952
1,3,11,0.003369466736090784,0.9943580011017727,9.023685134095774e-05
1,3,12,0.0012447924727694243,0.9934001102104957,6.0119778481354715e-05
1,3,13,0.0021112051191656584,0.9934804550028147,3.484820397460537e-05
1,3,14,0.0016623359311219805,0.9934252181735288,1.5784524943671793e-05
1,3,15,0.00139669396496454,0.993103219509188,3.956469259561037e-06
1,4,1,0.1092573899857618,0.9070432176791737,1.200000000000002e-05
1,4,2,0.0351021442930777,0.9486127539614659,0.0002299189027091962
1,4,3,0.023873144000830068,0.9571408381770203,0.0002989407388484867
1,4,4,0.0181564135287612,0.9626492490931919,0.00029082227397072164
1,4,5,0.012565607547882822,0.9773579757539289,0.00027511207619886324
1,4,6,0.007598015395150479,0.9617696171690888,0.0002526570863612255
1,4,7,0.007145955664992261,0.9606345085899382,0.00022466785877221305
1,4,8,0.0028884537857595785,0.9654395389028695,0.00019265329993589102
1,4,9,0.002625092408929409,0.9637992969313409,0.00015833932300578522
1,4,10,0.0032036661401974387,0.9616276436347332,0.00012357580336003952
1,4,11,0.0025093507405932083,0.964252004882472,9.023685134095774e-05
1,4,12,0.0025965051688647263,0.9654095112820796,6.0119778481354715e-05
1,4,13,0.0013627049581603158,0.963634506016301,3.484820397460537e-05
1,4,14,0.0013452714790948628,0.9632377389125031,1.5784524943671793e-05
1,4,15,0.0012064186875659789,0.9630846059017835,3.956469259561037e-06
2,0,1,0.05510019565226285,0.9931455498148549,8.782201497513433e-05
2,0,2,0.04784451258256213,0.9919089612711464,8.150125624968516e-05
2,0,3,0.03866183955304243,0.9898668756933469,7.165644372701506e-05
2,0,4,0.030495860583179598,0.9915027892324779,5.925125624968516e-05
2,0,5,0.027054618256023295,0.9928333660021775,4.55e-05
2,0,6,0.02635340024154265,0.9942053345889472,3.174874375031484e-05
2,0,7,0.024855817289470315,0.9936392781121182,1.9343556272984955e-05
2,0,8,0.0226038883000121,0.9946284610852686,9.498743750314846e-06
